B-V;Lum;GrpName
0.509;11.27;Platais 4
0.737;0.71;Hyades
0.516;3.64;Hyades
0.275;21.52;Platais 4
1.394;0.12;Beta Pictoris
0.393;29.08;Platais 4
0.45;2.82;Hyades
0.166;27.91;Platais 4
0.12;28.03;Platais 4
0.349;18.03;Platais 4
1.297;0.12;Beta Pictoris
0.957;0.44;Hyades
0.666;0.84;Tucana / Horologium
0.09;21.82;Platais 4
0.1;60.65;Platais 4
-0.047;46.5;Tucana / Horologium
0.109;34.5;Platais 4
0.155;33.28;Hyades
0.765;0.82;Hyades
0.197;18.19;Platais 4
0.336;48.36;Platais 4
1.114;87.22;Platais 4
0.509;2.42;Hyades
0.081;145.91;Platais 4
0.113;142.32;Platais 4
0.73;0.73;Hyades
0.145;90.26;Platais 4
0.852;68.47;Platais 4
0.168;319.01;Platais 4
0.03;518.49;Platais 4
0.306;30.3;Platais 4
0.249;16.67;Hyades
0.311;10.4;Hyades
0.464;2.77;Hyades
0.044;52.58;Platais 4
0.445;3.68;Hyades
0.168;31.1;Platais 4
0.755;48.54;Platais 4
0.221;36.84;Platais 4
-0.099;126.15;Tucana / Horologium
0.162;18.02;Platais 4
0.418;9.61;Platais 4
-0.133;342.07;Orion Molecular Cloud
-0.03;62722.64;Orion Molecular Cloud
0.311;28.91;Orion Molecular Cloud, Collinder 70
0.554;39.59;Platais 4
0.243;14.91;Orion Molecular Cloud, Collinder 70
-0.05;59.71;Orion Molecular Cloud, Collinder 70
0.089;15.88;Orion Molecular Cloud, Collinder 70
-0.117;228.36;Orion Molecular Cloud, Collinder 70
0.015;15.72;Orion Molecular Cloud, Collinder 70
0.008;45.79;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.105;520.48;Orion Molecular Cloud, ASCC 19, Collinder 70
0.055;37.33;Orion Molecular Cloud, Collinder 70
0;28.05;Orion Molecular Cloud, Collinder 70
-0.05;76.23;Orion Molecular Cloud, Collinder 70
0.02;32.06;Orion Molecular Cloud, Collinder 70
0.056;14.9;Orion Molecular Cloud, Collinder 70
0.165;9.11;Orion Molecular Cloud, Collinder 70
0.147;20.78;Orion Molecular Cloud, Collinder 70
0.765;0.8;Hyades
-0.047;370.83;Orion Molecular Cloud, Collinder 70
0.09;25.43;Orion Molecular Cloud, Collinder 70
0.51;2.34;Tucana / Horologium
-0.079;202.4;Orion Molecular Cloud, Collinder 70
-0.125;1229.85;Orion Molecular Cloud, Collinder 70
-0.114;1508.5;Orion Molecular Cloud
-0.168;4042.53;Orion Molecular Cloud, Collinder 70
-0.005;66.15;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70
-0.096;2240.37;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.111;326.94;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, Briceno 1
0.094;24.33;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.073;89.45;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.075;105.5;Orion Molecular Cloud, Collinder 70
-0.02;62.4;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.008;83.14;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.208;2431.21;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.121;177.48;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, Briceno 1
-0.07;71.62;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16
0.186;15.33;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.001;26.14;Tucana / Horologium
-0.24;29476.09;Orion Molecular Cloud, ASCC 19, Collinder 70
1.248;0.12;AB Doradus
-0.145;908.57;Orion Molecular Cloud, Collinder 70, Briceno 1
-0.048;314.87;Orion Molecular Cloud, Collinder 70
0.199;7.93;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.2;4752.66;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.04;179.64;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.162;769.18;Orion Molecular Cloud, Collinder 70
-0.178;1299.43;Orion Molecular Cloud, ASCC 18/20, ASCC 21, ASCC 19, Collinder 70, ASCC 16, Briceno 1
-0.09;91.62;Orion Molecular Cloud, ASCC 19, Collinder 70
-0.059;70.69;Orion Molecular Cloud, ASCC 18/20, ASCC 21, ASCC 19, Collinder 70
0.111;26.31;Orion Molecular Cloud, ASCC 19, Collinder 70
0.35;9.13;Orion Molecular Cloud, Collinder 70
0.066;13.57;Orion Molecular Cloud, Collinder 70
-0.141;362.68;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
-0.163;661.38;Orion Molecular Cloud, ASCC 19, Collinder 70
0.553;1.95;Beta Pictoris
-0.154;608.11;Orion Molecular Cloud, ASCC 18/20, ASCC 21, Collinder 70, ASCC 16, Briceno 1
